"dbp_uri","name","developer","publisher","release_date","homepage","mode","ign","metacritic"
"http://dbpedia.org/resource/Xenoblade_Chronicles_X","Xenoblade Chronicles X","http://dbpedia.org/resource/Monolith_Soft","http://dbpedia.org/resource/Nintendo",2015-04-29,"http://xenobladechroniclesx.nintendo.com/","http://dbpedia.org/resource/Multiplayer_video_game",95.0,84
"http://dbpedia.org/resource/Painkiller:_Hell_&_Damnation","Painkiller: Hell & Damnation","http://dbpedia.org/resource/The_Farm_51","http://dbpedia.org/resource/Nordic_Games_(company)",1926-11-13,"http://www.painkillergame.com/","http://dbpedia.org/resource/Multiplayer_video_game",50,40
"http://dbpedia.org/resource/Mystic_Heroes","Mystic Heroes","http://dbpedia.org/resource/Koei","http://dbpedia.org/resource/Koei",1924-11-02,"http://koei.com/launch/mystic_heroes/index.htm","http://dbpedia.org/resource/Multiplayer_video_game",63.0,67
"http://dbpedia.org/resource/Death,_Jr._and_the_Science_Fair_of_Doom","Death, Jr. and the Science Fair of Doom","http://dbpedia.org/resource/Backbone_Entertainment","http://dbpedia.org/resource/Konami",2007-05-22,"http://www.deathjr.com","http://dbpedia.org/resource/Single_player",40,47
"http://dbpedia.org/resource/Tekken_5","Tekken 5","http://dbpedia.org/resource/Namco","http://dbpedia.org/resource/Namco",2005-02-24,"http://www.bandainamcogames.co.jp/cs/list/tekken5","http://dbpedia.org/resource/Single_player",93.0,88
"http://dbpedia.org/resource/Knack_(video_game)","Knack (video game)","http://dbpedia.org/resource/SCE_Japan_Studio","http://dbpedia.org/resource/Sony_Computer_Entertainment",2013-11-15,"http://us.playstation.com/ps4/games/knack-ps4.html","http://dbpedia.org/resource/Multiplayer_video_game",59.0,54
"http://dbpedia.org/resource/Company_of_Heroes_2","Company of Heroes 2","http://dbpedia.org/resource/Relic_Entertainment","http://dbpedia.org/resource/Sega",2013-06-25,"http://www.companyofheroes.com/","http://dbpedia.org/resource/Multiplayer_video_game",84.0,80
"http://dbpedia.org/resource/Mega_Man_X7","Mega Man X7","http://dbpedia.org/resource/Capcom","http://dbpedia.org/resource/Capcom",2003-12-31,"http://www.capcom.co.jp/rockmanx7/","http://dbpedia.org/resource/Single-player_video_game",67.0,58
"http://dbpedia.org/resource/Final_Fantasy_Tactics:_The_War_of_the_Lions","Final Fantasy Tactics: The War of the Lions","http://dbpedia.org/resource/Square_Enix","http://dbpedia.org/resource/Square_Enix",2007-05-10,"https://web.archive.org/web/20111011164958/http:/na.square-enix.com/fftactics/","http://dbpedia.org/resource/Multiplayer_game",90,88
"http://dbpedia.org/resource/The_Crew_(video_game)","The Crew (video game)","http://dbpedia.org/resource/Ivory_Tower_(company)","http://dbpedia.org/resource/Ubisoft",2014-12-02,"http://www.thecrew-game.com","http://dbpedia.org/resource/Multiplayer_video_game",60,61
"http://dbpedia.org/resource/Mutant_Mudds","Mutant Mudds","http://dbpedia.org/resource/Renegade_Kid","http://dbpedia.org/resource/Renegade_Kid",1921-06-12,"http://www.renegadekid.com/mutantmudds.htm","http://dbpedia.org/resource/Single-player_video_game",85.0,83
"http://dbpedia.org/resource/One_Piece:_Pirate_Warriors","One Piece: Pirate Warriors","http://dbpedia.org/resource/Koei_Tecmo","http://dbpedia.org/resource/Bandai_Namco_Games",1921-09-12,"http://www.bandaigames.channel.or.jp/list/opm/","http://dbpedia.org/resource/Single_player",60,64
"http://dbpedia.org/resource/NHL_17","NHL 17","http://dbpedia.org/resource/EA_Canada","http://dbpedia.org/resource/EA_Sports",2016-09-13,"https://www.easports.com/nhl/","http://dbpedia.org/resource/Multiplayer_video_game",84.0,77
